Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
Andhra Pradesh,381,11,6
Andaman and Nicobar Islands,11,0,0
Arunachal Pradesh,1,0,0
Assam,29,0,1
Bihar,60,0,1
Chandigarh,18,7,0
Chhattisgarh,18,9,0
Delhi,903,25,14
Goa,7,1,0
Gujarat,308,31,19
Haryana,177,29,3
Himachal Pradesh,28,6,1
Jammu and Kashmir,207,6,4
Jharkhand,17,0,1
Karnataka,214,37,6
Kerala,364,123,2
Ladakh,15,10,0
Madhya Pradesh,443,0,33
Maharashtra,1574,188,110
Manipur,2,1,0
Mizoram,1,0,0
Odisha,48,2,1
Puducherry,7,1,0
Punjab,132,5,11
Rajasthan,553,21,3
Tamil Nadu,911,44,8
Telengana,504,43,9
Tripura,2,0,0
Uttarakhand,35,5,0
Uttar Pradesh,433,32,4
West Bengal,126,16,5
Total number of confirmed cases in India,7529,653,242
